City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Alice springs,AU,-23.7,133.88,87.8,12,0,10.29,clear sky
Parksville,CA,49.32,-124.32,48.2,87,21,9.17,few clouds
Marbella,ES,36.52,-4.89,66.99,68,0,2.24,clear sky
Sur,OM,22.57,59.53,83.64,22,0,7.81,clear sky
Bedi,IN,22.5,70.05,89.4,26,0,11.83,clear sky
Padang,ID,-0.95,100.35,80.82,73,100,4.03,light rain
Mogadishu,SO,2.04,45.34,86.0,62,40,13.87,scattered clouds
Springdale,US,36.19,-94.13,44.6,93,1,9.37,clear sky
Bluff,NZ,-46.6,168.33,50.0,70,80,18.01,broken clouds
Port alfred,ZA,-33.59,26.89,69.84,69,32,23.82,light rain
Ponta do sol,PT,32.67,-17.1,77.0,36,20,4.7,few clouds
Avera,US,33.19,-82.53,55.4,90,90,4.7,overcast clouds
Provost,CA,52.35,-110.27,30.2,63,9,6.93,clear sky
Tahlequah,US,35.92,-94.97,35.6,100,1,3.36,clear sky
Busselton,AU,-33.65,115.33,64.0,63,100,1.16,light rain
Puerto del rosario,ES,28.5,-13.86,75.2,78,0,16.11,clear sky
Berberati,CF,4.26,15.79,88.66,49,50,2.04,scattered clouds
Hobart,AU,-42.88,147.33,57.2,71,75,6.93,broken clouds
Ribeira grande,PT,38.52,-28.7,69.8,94,40,19.46,scattered clouds
New norfolk,AU,-42.78,147.06,57.0,68,93,1.95,overcast clouds
Albany,US,42.6,-73.97,37.0,82,3,5.95,clear sky
Geraldton,AU,-28.77,114.6,59.0,87,75,6.93,broken clouds
Hami,CN,42.8,93.45,47.86,43,0,1.43,clear sky
Solnechnyy,RU,50.72,136.63,36.41,93,98,6.22,overcast clouds
Cabo san lucas,MX,22.89,-109.91,71.01,80,0,3.74,clear sky
Gat,IL,31.61,34.76,81.0,47,24,1.99,few clouds
Saskylakh,RU,71.92,114.08,-10.43,87,14,9.46,few clouds
Yarada,IN,17.65,83.27,91.4,46,12,9.17,haze
Kapaa,US,22.08,-159.32,71.6,88,1,5.82,clear sky
Matara,LK,5.95,80.54,86.05,66,8,12.24,clear sky
Golub-dobrzyn,PL,53.11,19.05,46.0,79,0,7.0,clear sky
Botshabelo,ZA,-29.27,26.71,64.4,63,75,14.99,broken clouds
Hithadhoo,MV,-0.6,73.08,83.43,74,88,14.83,light rain
El alto,PE,-4.27,-81.21,61.84,91,100,8.9,overcast clouds
Lebu,CL,-37.62,-73.65,50.02,94,0,4.9,clear sky
Bethel,US,41.37,-73.41,37.0,83,1,4.21,clear sky
Faya,SA,18.39,42.45,77.0,12,20,5.82,few clouds
Kupang,ID,-10.17,123.58,83.32,71,50,10.38,scattered clouds
Butaritari,KI,3.07,172.79,82.29,74,92,14.27,overcast clouds
Meulaboh,ID,4.14,96.13,80.22,81,98,5.06,moderate rain
Yermakovskoye,RU,53.28,92.4,34.14,90,39,3.78,scattered clouds
Guerrero negro,MX,27.98,-114.06,64.9,76,5,4.68,clear sky
Tiarei,PF,-17.53,-149.33,77.0,78,0,2.24,clear sky
Karakol,KG,42.49,78.39,44.29,56,8,1.83,clear sky
Pisco,PE,-13.7,-76.22,61.0,93,90,4.7,overcast clouds
San patricio,US,28.02,-97.52,62.6,93,20,6.93,few clouds
Punta arenas,CL,-53.15,-70.92,46.4,87,0,4.7,clear sky
Udachnyy,RU,66.42,112.4,-0.4,91,0,8.95,clear sky
Katsuura,JP,35.13,140.3,64.4,77,75,5.82,light rain
Rio de janeiro,BR,-22.9,-43.21,69.8,77,75,3.36,broken clouds
Shumskiy,RU,54.83,99.13,26.42,87,74,3.56,broken clouds
Te anau,NZ,-45.42,167.72,45.05,88,85,3.69,overcast clouds
Vaini,TO,-21.2,-175.2,75.2,83,75,10.29,broken clouds
Pemba,MZ,-12.97,40.52,86.0,62,75,10.29,broken clouds
Ushuaia,AR,-54.8,-68.3,42.8,93,40,3.36,fog
Georgetown,MY,5.41,100.34,86.0,70,20,9.17,few clouds
Tadine,NC,-21.55,167.88,74.62,82,0,14.58,clear sky
Kasongo-lunda,CD,-6.47,16.82,92.21,47,10,1.23,clear sky
Pevek,RU,69.7,170.31,13.93,91,36,16.24,scattered clouds
Qaanaaq,GL,77.48,-69.36,2.28,77,0,5.73,clear sky
Airai,TL,-8.93,125.41,65.77,91,92,2.84,light rain
Esmeralda,CU,21.85,-78.12,75.2,94,87,8.05,overcast clouds
Mar del plata,AR,-38.0,-57.56,48.2,93,0,6.93,clear sky
Chuy,UY,-33.7,-53.46,53.55,84,0,3.98,clear sky
Saint-pierre,RE,-21.34,55.48,75.2,57,90,11.41,overcast clouds
Mataura,NZ,-46.19,168.86,50.0,70,98,18.01,overcast clouds
Lompoc,US,34.64,-120.46,57.2,66,1,8.05,clear sky
Rikitea,PF,-23.12,-134.97,74.97,77,11,7.43,few clouds
Kaohsiung,TW,22.62,120.31,78.8,65,40,6.93,scattered clouds
Vila velha,BR,-20.33,-40.29,71.6,78,90,9.17,overcast clouds
Salta,AR,-24.79,-65.41,48.2,76,0,2.24,clear sky
Hermanus,ZA,-34.42,19.23,78.01,50,0,8.99,clear sky
Gedo,ET,9.02,37.45,69.1,55,0,6.6,clear sky
