City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Imperatriz,BR,-5.53,-47.49,91.4,52,40,6.93,scattered clouds
Hobart,AU,-42.88,147.33,57.2,76,90,4.7,overcast clouds
Briancon,FR,44.9,6.65,60.01,68,14,4.34,few clouds
Punta arenas,CL,-53.15,-70.92,50.0,81,75,6.93,broken clouds
Hermanus,ZA,-34.42,19.23,75.0,60,0,5.01,clear sky
Mount isa,AU,-20.73,139.5,77.0,14,0,10.29,clear sky
Upington,ZA,-28.45,21.26,89.6,13,20,3.36,few clouds
Cape town,ZA,-33.93,18.42,73.4,60,0,16.11,clear sky
Ushuaia,AR,-54.8,-68.3,48.2,70,40,7.34,scattered clouds
Svetlyy,RU,54.67,20.13,46.99,81,0,11.18,clear sky
Kukes,AL,42.08,20.42,60.87,53,39,2.3,scattered clouds
Bredasdorp,ZA,-34.53,20.04,69.8,64,0,18.34,clear sky
Kjollefjord,NO,70.95,27.35,40.73,82,97,19.86,overcast clouds
Beringovskiy,RU,63.05,179.32,22.46,97,100,6.73,overcast clouds
Pitkyaranta,RU,61.57,31.48,38.01,85,99,7.81,overcast clouds
Atuona,PF,-9.8,-139.03,77.85,79,27,15.86,scattered clouds
Port alfred,ZA,-33.59,26.89,67.59,75,66,23.96,broken clouds
Airai,TL,-8.93,125.41,61.86,100,73,2.21,broken clouds
Souillac,MU,-20.52,57.52,71.6,64,40,8.05,scattered clouds
Busselton,AU,-33.65,115.33,54.0,93,97,5.93,overcast clouds
Yellowknife,CA,62.46,-114.35,16.0,85,75,9.17,light snow
Coquimbo,CL,-29.95,-71.34,55.4,82,90,4.7,overcast clouds
Thompson,CA,55.74,-97.86,12.2,92,90,5.82,light snow
Esperance,AU,-33.87,121.9,60.8,100,90,8.05,light rain
Severo-kurilsk,RU,50.68,156.12,40.82,78,2,5.37,clear sky
Karaton,ID,-6.34,106.1,79.0,78,20,13.87,few clouds
Santa cruz,BO,-17.8,-63.17,86.0,20,20,21.92,few clouds
Kalmar,SE,56.66,16.36,52.0,100,90,12.75,overcast clouds
Carnarvon,AU,-24.87,113.63,68.0,68,75,16.11,broken clouds
Luderitz,NA,-26.65,15.16,75.25,36,0,21.92,clear sky
Port hardy,CA,50.7,-127.42,50.0,87,75,5.82,broken clouds
Ahipara,NZ,-35.17,173.17,58.86,92,63,4.72,broken clouds
Kalmunai,LK,7.42,81.82,81.95,71,55,4.34,broken clouds
Norman wells,CA,65.28,-126.83,5.0,77,75,13.87,light snow
Bluff,NZ,-46.6,168.33,50.0,68,58,10.0,broken clouds
Khatanga,RU,71.97,102.5,-2.11,90,96,5.77,overcast clouds
Mudgee,AU,-32.59,149.59,53.01,93,0,4.7,clear sky
Faanui,PF,-16.48,-151.75,79.03,79,59,20.07,broken clouds
Muros,ES,42.78,-9.06,66.0,89,100,15.99,light rain
Ilulissat,GL,69.22,-51.1,19.4,57,100,12.75,overcast clouds
Cukai,MY,4.25,103.42,80.6,88,100,2.24,light rain
Lakatoro,VU,-16.1,167.42,78.8,78,40,5.82,scattered clouds
Andenes,NO,69.31,16.12,45.0,75,75,12.75,broken clouds
Sterling,US,39.01,-77.43,48.99,93,90,12.75,moderate rain
Saint pete beach,US,27.73,-82.74,82.99,83,40,5.82,scattered clouds
Cayenne,GF,4.93,-52.33,82.4,83,95,12.75,light rain
Hirara,JP,24.8,125.28,77.11,73,0,17.52,clear sky
Chokurdakh,RU,70.63,147.92,-0.31,94,100,9.44,overcast clouds
Christchurch,NZ,-43.53,172.63,54.0,76,100,14.99,overcast clouds
Albany,US,42.6,-73.97,46.0,75,98,1.01,overcast clouds
Tuktoyaktuk,CA,69.45,-133.04,5.0,84,75,3.36,broken clouds
San cristobal,VE,7.77,-72.22,78.8,88,75,4.7,broken clouds
Wattegama,LK,6.8,81.48,80.6,94,90,2.24,overcast clouds
Albanel,CA,48.88,-72.45,35.6,74,100,11.41,overcast clouds
New norfolk,AU,-42.78,147.06,52.0,73,99,0.81,overcast clouds
Butaritari,KI,3.07,172.79,81.99,75,53,10.07,broken clouds
Puerto ayora,EC,-0.74,-90.35,75.2,73,75,10.29,broken clouds
Pevek,RU,69.7,170.31,14.27,89,96,15.23,overcast clouds
Buchanan,LR,5.88,-10.05,81.77,81,46,7.47,moderate rain
Odweyne,SO,9.41,45.06,76.95,36,20,21.77,few clouds
Newberry,US,34.27,-81.62,55.99,93,90,9.17,overcast clouds
Lavrentiya,RU,65.58,-171.0,21.9,89,0,5.82,clear sky
Batagay,RU,67.63,134.63,-12.1,88,99,4.12,overcast clouds
Yatou,CN,37.15,122.38,51.89,46,75,8.97,broken clouds
Wasilla,US,61.58,-149.44,6.8,84,40,4.7,scattered clouds
Castro,BR,-24.79,-50.01,65.93,61,78,8.21,light rain
East london,ZA,-33.02,27.91,66.2,77,40,12.75,scattered clouds
Road town,VG,18.42,-64.62,86.0,66,40,13.87,scattered clouds
Montebello,US,34.01,-118.11,66.0,76,1,3.24,haze
Vaini,TO,-21.2,-175.2,73.4,88,75,6.93,broken clouds
Shellbrook,CA,53.22,-106.4,28.4,68,90,13.87,overcast clouds
Acapulco,MX,16.86,-99.89,82.63,64,40,1.86,scattered clouds
Hervey bay,AU,-25.3,152.85,73.0,88,85,1.01,light rain
Barrow,US,71.29,-156.79,28.4,79,90,19.46,snow
San quintin,MX,30.48,-115.95,69.04,49,4,4.36,clear sky
Saint-augustin,CA,51.23,-58.65,34.47,80,82,17.13,broken clouds
Comodoro rivadavia,AR,-45.87,-67.5,73.4,46,0,5.82,clear sky
Gladstone,AU,-23.85,151.25,71.6,83,68,3.22,broken clouds
Sri aman,MY,1.24,111.46,75.2,94,100,0.87,heavy intensity rain
Rikitea,PF,-23.12,-134.97,74.71,82,40,10.27,scattered clouds
Toila,EE,59.42,27.5,42.53,83,0,11.41,clear sky
Ostrovnoy,RU,68.05,39.51,35.02,88,82,15.57,broken clouds
Komsomolskiy,UZ,40.43,71.72,48.2,29,2,4.7,haze
Nikolayevsk-na-amure,RU,53.14,140.73,36.01,90,81,2.33,broken clouds
Tambacounda,SN,13.75,-13.76,102.2,21,0,6.93,clear sky
Dingle,PH,11.0,122.67,75.54,88,100,6.29,overcast clouds
Nosy varika,MG,-20.58,48.53,71.06,67,98,5.21,overcast clouds
Itoman,JP,26.12,127.67,73.4,73,20,3.36,few clouds
Port lavaca,US,28.61,-96.63,69.8,64,1,6.93,clear sky
Kapaa,US,22.08,-159.32,69.8,88,1,8.05,clear sky
Chuy,UY,-33.7,-53.46,67.86,46,0,4.9,clear sky
Codrington,AU,-38.27,141.97,48.79,94,72,7.61,broken clouds
Kavaratti,IN,10.57,72.64,82.65,69,0,3.29,clear sky
Longyearbyen,SJ,78.22,15.64,30.2,68,20,19.46,few clouds
Zhigansk,RU,66.77,123.37,-1.37,92,98,13.94,overcast clouds
Utiel,ES,39.57,-1.2,77.0,43,31,5.61,scattered clouds
Bria,CF,6.54,21.99,79.32,83,92,2.53,light rain
Saint-philippe,RE,-21.36,55.77,71.6,64,20,6.93,few clouds
Clocolan,ZA,-28.91,27.57,53.49,80,100,9.62,overcast clouds
Dikson,RU,73.51,80.55,23.25,99,98,4.76,overcast clouds
Hilo,US,19.73,-155.09,71.6,73,75,5.82,broken clouds
Georgetown,MY,5.41,100.34,84.0,88,20,3.36,few clouds
Hambantota,LK,6.12,81.12,80.6,94,90,2.24,overcast clouds
Tefe,BR,-3.35,-64.71,82.4,83,40,5.82,scattered clouds
Havoysund,NO,71.0,24.66,39.2,78,0,23.04,clear sky
Palmer,US,42.16,-72.33,48.99,61,75,5.82,broken clouds
Constitucion,CL,-35.33,-72.42,61.74,67,61,5.93,broken clouds
Ulaanbaatar,MN,47.91,106.88,6.8,77,0,2.24,clear sky
Port elizabeth,ZA,-33.92,25.57,68.0,72,0,18.34,clear sky
Waverly,US,42.74,-84.62,36.0,64,90,23.04,overcast clouds
Mao,ES,39.89,4.27,68.0,68,20,8.05,few clouds
Saint-louis,SN,16.33,-15.0,100.4,22,0,2.24,clear sky
Jamestown,US,42.1,-79.24,46.99,87,90,12.75,moderate rain
Tahta,EG,26.77,31.5,86.0,37,40,13.87,scattered clouds
Sao filipe,CV,14.9,-24.5,80.64,68,0,8.05,clear sky
Jaffna,LK,9.67,80.01,81.3,72,62,7.47,broken clouds
Mumford,GH,5.26,-0.76,81.9,77,86,10.0,light rain
Flinders,AU,-34.58,150.86,61.0,81,27,3.0,scattered clouds
Isangel,VU,-19.55,169.27,75.4,82,13,13.47,few clouds
Makakilo city,US,21.35,-158.09,71.6,88,1,4.7,clear sky
Sibolga,ID,1.74,98.78,77.43,81,100,2.8,moderate rain
Hithadhoo,MV,-0.6,73.08,83.26,76,100,13.02,light rain
Baraboo,US,43.47,-89.74,33.01,50,90,19.46,overcast clouds
Lasa,IT,46.62,10.7,57.0,62,75,4.7,broken clouds
Kijang,KR,35.24,129.21,57.2,76,100,3.36,light rain
Te anau,NZ,-45.42,167.72,41.34,87,97,1.16,overcast clouds
Guerrero negro,MX,27.98,-114.06,70.07,61,0,1.7,clear sky
Provideniya,RU,64.38,-173.3,21.97,86,0,2.42,clear sky
Bengkulu,ID,-3.8,102.27,76.17,88,100,3.27,light rain
Caernarfon,GB,53.14,-4.27,53.6,93,96,20.8,light rain
Kudahuvadhoo,MV,2.67,72.89,83.28,73,62,8.16,broken clouds
Chapais,CA,49.78,-74.85,32.0,99,90,16.11,light snow
Mombaca,BR,-5.74,-39.63,96.67,34,43,5.82,scattered clouds
Pozo colorado,PY,-23.49,-58.8,85.44,31,0,5.48,clear sky
Kavieng,PG,-2.57,150.8,83.3,75,85,7.61,light rain
Ishimbay,RU,53.45,56.04,37.83,95,17,6.38,few clouds
Pisco,PE,-13.7,-76.22,62.6,88,90,5.82,overcast clouds
Azuaga,ES,38.27,-5.68,73.0,46,98,1.99,overcast clouds
Tiksi,RU,71.69,128.87,-6.86,90,1,7.11,clear sky
Fairbanks,US,64.84,-147.72,1.0,76,1,1.88,clear sky
Victoria,HK,22.29,114.16,75.0,79,2,10.04,light rain
Kedrovyy,RU,56.17,91.82,35.6,80,0,4.47,clear sky
Mataura,NZ,-46.19,168.86,50.0,68,91,10.0,overcast clouds
Arraial do cabo,BR,-22.97,-42.03,75.2,64,75,8.05,broken clouds
Olafsvik,IS,64.89,-23.71,40.03,77,60,6.64,broken clouds
Waldoboro,US,44.1,-69.38,52.0,81,90,23.04,overcast clouds
Osakarovka,KZ,50.56,72.57,35.06,78,97,5.55,overcast clouds
Los llanos de aridane,ES,28.66,-17.92,84.2,32,0,10.29,clear sky
Klaksvik,FO,62.23,-6.59,46.4,87,60,13.87,light rain
Ribeira grande,PT,38.52,-28.7,69.8,77,75,20.8,shower rain
Leningradskiy,RU,69.38,178.42,13.24,82,59,6.26,broken clouds
Sur,OM,22.57,59.53,72.12,47,0,2.46,clear sky
Kismayo,SO,-0.36,42.55,80.67,77,4,13.22,clear sky
Kurilsk,RU,45.23,147.88,49.86,87,40,11.41,scattered clouds
Redondela,ES,42.28,-8.61,66.0,100,90,12.75,fog
Praia da vitoria,PT,38.73,-27.07,73.4,83,75,16.67,broken clouds
Nuevo progreso,MX,23.17,-97.95,72.0,62,0,3.0,clear sky
Bonoua,CI,5.27,-3.6,86.0,74,20,11.41,few clouds
Cabra,ES,37.47,-4.44,80.6,30,0,2.24,clear sky
Avarua,CK,-21.21,-159.78,75.2,88,91,10.29,overcast clouds
Wagar,SD,16.15,36.2,97.25,18,54,5.97,broken clouds
Laguna,US,38.42,-121.42,46.4,81,1,2.3,haze
Ponta do sol,PT,32.67,-17.1,73.0,83,20,6.93,few clouds
George town,MY,5.41,100.34,84.0,88,20,3.36,few clouds
Kumano,JP,34.34,132.59,66.2,82,90,1.59,light rain
Coxim,BR,-18.51,-54.76,88.32,38,0,8.84,clear sky
Salalah,OM,17.02,54.09,80.6,69,75,6.93,broken clouds
Skjeberg,NO,59.23,11.2,51.8,87,98,18.34,moderate rain
Mount gambier,AU,-37.83,140.77,48.2,93,95,6.93,overcast clouds
Flin flon,CA,54.77,-101.86,23.0,85,90,19.46,overcast clouds
Chanika,TZ,-5.42,38.02,75.13,71,34,10.78,scattered clouds
Quzhou,CN,28.96,118.87,60.21,86,100,2.3,overcast clouds
Bethel,US,41.37,-73.41,52.0,61,90,10.29,overcast clouds
Tromso,NO,69.65,18.96,42.8,70,0,13.87,clear sky
Aklavik,CA,68.22,-135.01,14.0,85,90,11.41,light snow
Alta floresta,BR,-9.88,-56.09,80.6,78,75,1.12,broken clouds
Coahuayana,MX,18.73,-103.68,82.76,63,28,2.91,scattered clouds
Nioro,GM,13.35,-15.75,98.71,20,7,5.26,clear sky
Oktyabrskoye,RU,43.06,44.74,55.0,87,40,8.95,scattered clouds
Manta,EC,-0.95,-80.73,77.0,78,90,8.05,overcast clouds
Eldorado,BR,-23.79,-54.28,79.57,50,0,5.68,clear sky
Half moon bay,US,37.46,-122.43,51.8,100,90,4.7,fog
Erenhot,CN,43.65,111.98,28.67,81,29,10.07,scattered clouds
Buta,CD,2.79,24.73,79.29,92,92,2.24,light rain
Coos bay,US,43.37,-124.22,50.0,100,1,9.17,clear sky
Saskylakh,RU,71.92,114.08,-11.85,87,64,9.55,broken clouds
Pedernales,DO,18.04,-71.74,86.0,74,20,9.17,few clouds
Pihuamo,MX,19.25,-103.38,75.43,76,45,3.83,scattered clouds
Bambous virieux,MU,-20.34,57.76,71.6,64,40,8.05,scattered clouds
Youkounkoun,GN,12.53,-13.13,97.95,23,0,4.72,clear sky
Brandon,US,27.94,-82.29,84.0,74,90,3.36,overcast clouds
Mahebourg,MU,-20.41,57.7,71.6,64,40,8.05,scattered clouds
Balykshi,KZ,47.07,51.87,60.8,25,40,11.18,scattered clouds
Cabo san lucas,MX,22.89,-109.91,75.99,60,40,3.36,scattered clouds
Birjand,IR,32.87,59.22,60.8,6,0,4.7,clear sky
Matara,LK,5.95,80.54,78.94,81,13,7.07,few clouds
Haapiti,PF,-17.57,-149.87,77.0,78,75,3.36,broken clouds
Caldwell,US,43.66,-116.69,39.0,79,1,5.82,clear sky
Srednekolymsk,RU,67.45,153.68,-1.34,93,77,7.31,broken clouds
Inirida,CO,3.87,-67.92,72.43,98,100,2.33,heavy intensity rain
Nikolskoye,RU,59.7,30.79,36.0,100,90,8.95,fog
Vardo,NO,70.37,31.11,37.4,86,75,17.22,broken clouds
Mar del plata,AR,-38.0,-57.56,69.8,56,0,9.17,clear sky
Rocha,UY,-34.48,-54.33,67.59,43,0,7.09,clear sky
Areni,AM,39.72,45.18,60.8,29,75,9.17,broken clouds
Camacha,PT,33.08,-16.33,71.6,83,20,8.05,few clouds
Kaeo,NZ,-35.1,173.78,57.0,94,42,0.81,scattered clouds
Ranong,TH,9.97,98.63,79.27,82,97,0.72,overcast clouds
Katsuura,JP,35.13,140.3,61.0,67,75,6.93,broken clouds
Nizhniy kuranakh,RU,58.84,125.49,-6.5,89,72,1.1,broken clouds
Oil city,US,41.43,-79.71,48.0,87,90,14.99,light rain
Jiayuguan,CN,39.82,98.3,38.52,63,0,6.6,clear sky
Qaanaaq,GL,77.48,-69.36,0.5,75,0,6.91,clear sky
Poronaysk,RU,49.22,143.12,47.17,90,100,13.04,moderate rain
Talcahuano,CL,-36.72,-73.12,53.6,93,90,6.93,mist
Caravelas,BR,-17.71,-39.25,71.01,93,100,12.73,light rain
College,US,64.86,-147.8,1.0,76,40,1.88,scattered clouds
Nanortalik,GL,60.14,-45.24,31.5,89,86,25.79,overcast clouds
Inhambane,MZ,-23.86,35.38,82.0,57,20,6.93,few clouds
Alice springs,AU,-23.7,133.88,77.0,20,0,9.17,clear sky
Yeppoon,AU,-23.13,150.73,71.6,83,75,1.63,broken clouds
Suez,EG,29.97,32.53,76.64,56,14,16.04,light rain
Jiexiu,CN,37.02,111.91,48.65,45,0,5.03,clear sky
Wajima,JP,37.4,136.9,64.26,75,100,18.61,light rain
Banda aceh,ID,5.56,95.32,80.56,78,98,10.49,light rain
Salamiyah,SY,35.01,37.05,71.47,46,73,2.91,light rain
Marienburg,PL,54.04,19.03,45.0,100,67,10.65,broken clouds
Bronnoysund,NO,65.46,12.2,53.6,66,75,28.86,broken clouds
North branch,US,45.51,-92.98,30.0,69,64,7.0,broken clouds
Qostanay,KZ,53.17,63.58,35.6,93,90,11.18,overcast clouds
Gizo,SB,-8.1,156.84,83.01,76,59,4.21,moderate rain
Alofi,NU,-19.06,-169.92,75.2,94,44,10.29,light rain
Aswan,EG,24.09,32.91,84.34,19,0,9.46,clear sky
Puerto escondido,MX,15.85,-97.07,83.46,55,79,1.03,broken clouds
Mezen,RU,65.85,44.24,30.06,97,100,11.56,overcast clouds
Saint-pierre,RE,-21.34,55.48,71.6,64,20,6.93,few clouds
Geraldton,AU,-28.77,114.6,57.2,93,75,9.17,broken clouds
Ugoofaaru,MV,5.67,73.0,82.9,73,30,7.43,scattered clouds
Meridian,US,43.61,-116.39,37.4,62,1,5.14,clear sky
Paamiut,GL,61.99,-49.67,25.57,92,90,5.91,overcast clouds
Kieta,PG,-6.22,155.63,79.56,72,0,1.88,clear sky
Lianzhou,CN,24.78,112.38,67.26,77,82,3.98,broken clouds
Waingapu,ID,-9.66,120.26,81.16,78,60,2.64,broken clouds
Dudinka,RU,69.41,86.18,21.2,92,75,24.61,light snow
Axim,GH,4.87,-2.24,82.56,78,98,8.7,light rain
Tasiilaq,GL,65.61,-37.64,30.2,92,100,8.05,overcast clouds
Kaitangata,NZ,-46.28,169.85,48.0,63,94,11.01,overcast clouds
Sicamous,CA,50.83,-118.99,36.0,79,48,1.12,scattered clouds
San juan,AR,-31.54,-68.54,81.57,17,0,6.91,clear sky
Vostok,RU,46.49,135.88,33.17,98,97,3.87,overcast clouds
Kahului,US,20.89,-156.47,72.0,78,1,3.36,clear sky
Dno,RU,57.83,29.96,38.41,87,0,4.09,clear sky
Yaan,NG,7.38,8.57,91.22,44,71,3.56,broken clouds
Seoul,KR,37.57,126.98,50.0,100,90,2.46,fog
Dunedin,NZ,-45.87,170.5,48.99,76,100,1.99,overcast clouds
Zaysan,KZ,47.47,84.87,35.78,77,0,3.22,clear sky
Shache,CN,38.42,77.24,43.0,57,0,5.66,clear sky
Cabedelo,BR,-6.98,-34.83,86.0,66,40,11.41,scattered clouds
Whitefish,US,48.41,-114.34,30.0,85,1,0.76,clear sky
Opuwo,NA,-18.06,13.84,85.35,31,96,16.87,light rain
Anadyr,RU,64.75,177.48,8.6,84,0,6.71,clear sky
Daru,PG,-9.08,143.21,80.74,81,100,13.94,overcast clouds
Kununurra,AU,-15.77,128.73,80.6,65,86,4.7,overcast clouds
Zarand,IR,30.81,56.56,51.42,39,0,3.36,clear sky
Cherskiy,RU,68.75,161.3,8.29,95,100,6.76,overcast clouds
Port-gentil,GA,-0.72,8.78,84.2,74,40,12.75,scattered clouds
Torbay,CA,47.67,-52.73,39.99,56,9,5.01,clear sky
Phangnga,TH,8.45,98.53,82.99,88,20,5.82,few clouds
Bac lieu,VN,9.29,105.72,79.56,84,100,2.86,light rain
Kruisfontein,ZA,-34.0,24.73,73.0,58,22,7.0,few clouds
Saint anthony,US,45.02,-93.22,28.99,54,1,17.22,clear sky
Tuatapere,NZ,-46.13,167.68,50.0,68,59,10.0,broken clouds
Bandundu,CD,-3.32,17.37,81.64,80,100,2.26,light rain
Rypefjord,NO,70.63,23.67,39.2,79,0,23.04,clear sky
Kodiak,US,57.79,-152.41,28.4,58,20,5.82,few clouds
Nicholasville,US,37.88,-84.57,55.0,50,1,20.8,clear sky
Hualmay,PE,-11.1,-77.61,67.3,66,40,10.0,scattered clouds
Upernavik,GL,72.79,-56.15,17.53,94,100,2.93,overcast clouds
Yulara,AU,-25.24,130.99,82.4,16,6,13.87,clear sky
